"IDNO","Wave","Country","Month","Day","Year","GeoCode","IntCode","GendInt","SupvCode","Visit","IntBegin","IntEnd","Length","SamPt","NetComp","NetPhone","Gender","Age","Educ","Muslim","RUKaz","Church","Pray5x","Fast","Work","Occ","Income","IncomeOut","Homelang","Water","Food","Housing","Electric","Educate","MedCare","HoursElec","Language","PeopPres","Interact","Comphend","UnEz","BackChk","Method","Format","ThreatHi","Mosque","TrustCA","CelPhon","OwnPC","UseNet","Ethnic_M","Region_M","MainNews_M","Topprob_M","TrustGov_M","TrustUS_M","HrsWorkGrp","AgeGrp","NetNews","NetSocial","NetEmail","NetChat","NetContent","Ssite_M","Lastyear_M","nextyear_M","SolveProb","Statements1","Statements3","CommProb2","TypeProb2","OpinionChina","OpinionIran","OpinionRussia","OpinionUSA","OpinionKAZ","OpinionKYR","OpinionTAJ","OpinionUzbek","OpinionXi","OpinionRuhani","OpinionPutin","OpinionNazarbayev","OpinionAtambaev","OpinionRahmon","OpinionMirziyoyev","Statements4","PMJeenbekov","PMSagintayev","HHLandlines","NmbrMobilePhones","EighteenPlusMobile","MobileVsLandline","TrustRs_M","OpinionPak","OpinionTrump","LiveHH18","LLNumber","MobileNumber","HrsWork_M","CanBuy_M","Identfy_M","Religion_M","ServiceProvider_M","EducLevel_M","totwt","AgeGroup2","RiteRong_M","Party_M","TodayEcSit_M"
1,"CAB OTS W1","Kazakhstan","June",15,2017,"Rural",1,"Female",9,"Second Visit",1304,1313,8,1,"Never","Never","Female",48,12,"Not Asked","Orthodox","Once a year or less","Not Asked","Not Asked","Working full-time","Transportation","60,001 - 80,000 Tenge","Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)","Russian","Yes","Yes","Yes","Yes","Yes","Yes","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable with most of the questions","Yes","Direct supervision",2017-06-01,"Somewhat high","Not Asked","Distrust","Yes","No","No","Russian (Kaz)","Northern","Our country's national television stations","Unemployment","Trust","Distrust","31-40 Hours","45-54","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Stayed the Same","Become Better","Not asked","Agree somewhat","Disagree somewhat","No","Not asked","Somewhat Favorable","Somewhat Unfavorable","Somewhat Favorable","Somewhat Favorable","Not Asked","Somewhat Unfavorable","Very Unfavorable","Somewhat Unfavorable","Somewhat Favorable","Somewhat Favorable","Somewhat Unfavorable","Not Asked","Somewhat Unfavorable","Very Unfavorable","Very Unfavorable","Disagree Somewhat","Not Asked","Disapprove Somewhat","0.0","2.00000000000000000","2.00000000000000000","Not Asked","Trust","Somewhat Unfavorable","Somewhat Unfavorable","5.00000000000000000","Not asked / no landline phone","Have mobile but refused number","40.00000000000000000","We can buy long-term equipment, but we cannot afford to buy expensive things, like a car","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Beeline","Complete higher education",0.693441186435793,"40-49","Right direction","Otan Party","Somewhat Worse"
10,"CAB OTS W1","Kazakhstan","June",28,2017,"Rural",1,"Female",9,"First Visit",1250,1303,13,2,"Never","Never","Female",63,11,"Not Asked","Orthodox","Never","Not Asked","Not Asked","Retired","Not Asked","60,001 - 80,000 Tenge","Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)","Russian","Yes","Yes","Yes","Yes","No","No","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat low","Not Asked","Trust","Yes","No","No","Russian (Kaz)","Northern","Our country's national television stations","Unemployment","Trust","Distrust",NA,"55+","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Become Worse","Stay About the Same","Not asked","Disagree somewhat","Agree somewhat","No","Not asked","Somewhat Favorable","Very Unfavorable","Very Favorable","Somewhat Unfavorable","Not Asked","Somewhat Favorable","Somewhat Unfavorable","Somewhat Favorable","Somewhat Favorable","Somewhat Unfavorable","Very Favorable","Not Asked","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Agree Somewhat","Not Asked","Approve Somewhat","0.0","1.00000000000000000","5.00000000000000000","Not Asked","Trust","Somewhat Favorable","Somewhat Favorable","5.00000000000000000","Not asked / no landline phone","Yes","Not Asked","We can buy food, but buying clothes causes financial difficulties","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Aktive","Vocational (vocational school, lyceum etc.)",0.871299224359785,"60+","Right direction","Otan Party","Somewhat Worse"
11,"CAB OTS W1","Kazakhstan","June",28,2017,"Rural",1,"Female",9,"Second Visit",1324,1337,13,2,"Never","Never","Female",50,11,"Not Asked","Orthodox","Once a year or less","Not Asked","Not Asked","Unemployed and not actively seeking employment","Not Asked","60,001 - 80,000 Tenge","0.0","Russian","Yes","Yes","Yes","Yes","No","No","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat high","Not Asked","Trust","Yes","Yes","No","Kazakh (Kaz)","Northern","Our country's national television stations","Unemployment","Trust","Distrust",NA,"45-54","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Stayed the Same","Stay About the Same","Not asked","Strongly agree","Strongly agree","No","Not asked","Very Unfavorable","Somewhat Unfavorable","Very Favorable","Somewhat Unfavorable","Not Asked","Very Unfavorable","Very Unfavorable","Very Unfavorable","Somewhat Favorable","Very Unfavorable","Very Favorable","Not Asked","Very Unfavorable","Very Unfavorable","Somewhat Unfavorable","Disagree Somewhat","Not Asked","Disapprove Somewhat","Don't Know (vol.)","1.00000000000000000","1.00000000000000000","Not Asked","Trust","Very Unfavorable","Somewhat Favorable","5.00000000000000000","Have landline telephone but refused number","Yes","Not Asked","We can buy food and clothes, but do not have money to buy long-term items, like a TV or a refrigerator","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Tele2","Vocational (vocational school, lyceum etc.)",0.878764015906838,"50-59","Right direction","Would Not Vote","Somewhat Better"
16,"CAB OTS W1","Kazakhstan","June",28,2017,"Rural",1,"Female",9,"First Visit",1606,1615,8,2,"Never","Never","Male",35,11,"Not Asked","Orthodox","Once a year or less","Not Asked","Not Asked","Unemployed and not actively seeking employment","Not Asked","50,001 - 60,000 Tenge","0.0","Russian","Yes","Yes","Yes","Yes","No","No","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat high","Not Asked","Trust","Yes","Yes","No","Russian (Kaz)","Northern","Our country's national television stations","Unemployment","Trust","Trust",NA,"35-44","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Become Worse","Become Worse","Not asked","Agree somewhat","Agree somewhat","No","Not asked","Somewhat Favorable","Very Unfavorable","Somewhat Favorable","Somewhat Unfavorable","Not Asked","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Somewhat Unfavorable","Somewhat Unfavorable","Very Favorable","Not Asked","Somewhat Unfavorable","Somewhat Unfavorable","Somewhat Favorable","Disagree Somewhat","Not Asked","Approve Somewhat","0.0","1.00000000000000000","1.00000000000000000","Not Asked","Trust","Somewhat Unfavorable","Somewhat Unfavorable","3.00000000000000000","Not asked / no landline phone","Yes","Not Asked","We can buy food, but buying clothes causes financial difficulties","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Tele2","Finished school",0.970148724173583,"30-39","Wrong direction","Otan Party","About the Same"
17,"CAB OTS W1","Kazakhstan","June",28,2017,"Rural",1,"Female",9,"First Visit",1635,1646,10,2,"Several times a month","Daily","Female",22,12,"Not Asked","Orthodox","Never","Not Asked","Not Asked","A housewife","Not Asked","60,001 - 80,000 Tenge","Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)","Russian","Yes","Yes","Yes","No","Yes","Yes","16.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat high","Not Asked","Trust","Yes","Yes","Yes","Russian (Kaz)","Northern","Our country's national television stations","Inflation","Trust","Trust",NA,"18-24","A few times every week","A few times every week","A few times every week","At least once a day","Never","WhatsApp","Stayed the Same","Become Worse","Not asked","Agree somewhat","Strongly agree","No","Not asked","Very Favorable","Somewhat Unfavorable","Very Favorable","Very Favorable","Not Asked","Somewhat Unfavorable","Somewhat Favorable","Somewhat Unfavorable","Very Favorable","Very Favorable","Very Favorable","Not Asked","Somewhat Unfavorable","Somewhat Favorable","Somewhat Favorable","Agree Somewhat","Not Asked","Disapprove Somewhat","0.0","1.00000000000000000","1.00000000000000000","Not Asked","Trust","Somewhat Unfavorable","Very Unfavorable","4.00000000000000000","Not asked / no landline phone","Yes","Not Asked","We can buy food and clothes, but do not have money to buy long-term items, like a TV or a refrigerator","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Beeline","Vocational (vocational school, lyceum etc.)",0.664712041295186,"18-29","Right direction","Would Not Vote","Somewhat Worse"
18,"CAB OTS W1","Kazakhstan","June",28,2017,"Rural",1,"Female",9,"First Visit",1714,1725,11,2,"Never","Never","Male",22,11,"Not Asked","Orthodox","Once a year or less","Not Asked","Not Asked","Refused (vol.)","Not Asked","80,001 - 100,000 Tenge","0.0","Russian","Yes","Yes","Yes","Yes","No","No","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat low","Not Asked","Trust","Yes","Yes","No","Russian (Kaz)","Northern","Radio","Unemployment","Trust","Trust",NA,"18-24","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Not Asked","Stayed the Same","Stay About the Same","Not asked","Agree somewhat","Agree somewhat","No","Not asked","Somewhat Unfavorable","Somewhat Unfavorable","Somewhat Favorable","Somewhat Unfavorable","Not Asked","Somewhat Unfavorable","Somewhat Unfavorable","Somewhat Unfavorable","Somewhat Unfavorable","Somewhat Unfavorable","Very Favorable","Not Asked","Somewhat Unfavorable","Somewhat Unfavorable","Somewhat Unfavorable","Agree Somewhat","Not Asked","Disapprove Somewhat","0.0","1.00000000000000000","1.00000000000000000","Not Asked","Trust","Somewhat Unfavorable","Very Unfavorable","4.00000000000000000","Not asked / no landline phone","Yes","Not Asked","We can buy food and clothes, but do not have money to buy long-term items, like a TV or a refrigerator","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Beeline","Finished school",0.963951678947457,"18-29","Right direction","Would Not Vote","About the Same"
21,"CAB OTS W1","Kazakhstan","June",17,2017,"Rural",1,"Female",9,"First Visit",1914,1928,14,3,"Daily","Daily","Female",23,15,"Not Asked","Orthodox","Several times a year, but not monthly","Not Asked","Not Asked","Working full-time","Construction","100,001 - 150,000 Tenge","Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)","Russian","Yes","Yes","Yes","Yes","Yes","Yes","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat low","Not Asked","Distrust","Yes","Yes","Yes","Russian (Kaz)","Northern","Family, friends, or neighbors","Unemployment","Distrust","Trust","31-40 Hours","18-24","At least once a day","At least once a day","A few times every week","At least once a day","A few times every month","Odnoklassniki","Stayed the Same","Stay About the Same","Not asked","Agree somewhat","Agree somewhat","No","Not asked","Somewhat Favorable","Somewhat Favorable","Very Favorable","Somewhat Favorable","Not Asked","Somewhat Unfavorable","Very Unfavorable","Somewhat Unfavorable","Very Favorable","Somewhat Favorable","Very Favorable","Not Asked","Somewhat Unfavorable","Somewhat Favorable","Somewhat Unfavorable","Agree Somewhat","Not Asked","Approve Somewhat","1.00000000000000000","1.00000000000000000","Refused (vol.)","Mobile for most calls","Trust","Somewhat Favorable","Very Favorable","2.00000000000000000","Have landline telephone but refused number","Yes","37.00000000000000000","We can buy long-term equipment, but we cannot afford to buy expensive things, like a car","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Beeline","Complete higher education",0.664712041295186,"18-29","Right direction","Otan Party","Somewhat Better"
22,"CAB OTS W1","Kazakhstan","June",17,2017,"Rural",1,"Female",9,"First Visit",1944,1955,11,3,"Several times a week","Never","Female",58,10,"Not Asked","Orthodox","Once a year or less","Not Asked","Not Asked","Retired","Not Asked","80,001 - 100,000 Tenge","Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)","Russian","Yes","Yes","Yes","Yes","Yes","Yes","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat high","Not Asked","Trust","Yes","Yes","Yes","Russian (Kaz)","Northern","Our country's national television stations","Low wages/pensions","Trust","Distrust",NA,"55+","A few times every week","At least once a day","Never","Never","Never","Odnoklassniki","Stayed the Same","Stay About the Same","Not asked","Agree somewhat","Agree somewhat","No","Not asked","Somewhat Favorable","Don't Know (vol.)","Somewhat Favorable","Very Unfavorable","Not Asked","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Very Favorable","Not Asked","Somewhat Favorable","Somewhat Favorable","Very Favorable","Agree Somewhat","Not Asked","Approve Somewhat","1.00000000000000000","1.00000000000000000","Refused (vol.)","Mobile for most calls","Trust","Somewhat Favorable","Somewhat Unfavorable","6.00000000000000000","Have landline telephone but refused number","Yes","Not Asked","We can buy food and clothes, but do not have money to buy long-term items, like a TV or a refrigerator","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Aktive","Finished school",0.878764015906838,"50-59","Right direction","Otan Party","Somewhat Better"
23,"CAB OTS W1","Kazakhstan","June",17,2017,"Rural",1,"Female",9,"First Visit",2121,2134,13,3,"Daily","Daily","Male",30,12,"Not Asked","Orthodox","Never","Not Asked","Not Asked","Working full-time","Other","150,001 - 250,000 Tenge","Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)","Russian","Yes","Yes","No","Yes","Yes","No","24.00000000000000000","Russian",2,"No other people were present at the interview","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat high","Not Asked","Distrust","Yes","Yes","Yes","Uzbek (Kaz)","Northern","Family, friends, or neighbors","Rising Food Prices","Distrust","Trust","41-50 Hours","25-34","A few times every month","A few times every week","A few times every week","At least once a day","Never","Facebook","Become Worse","Become Worse","Not asked","Agree somewhat","Agree somewhat","No","Not asked","Somewhat Favorable","Somewhat Unfavorable","Very Favorable","Somewhat Favorable","Not Asked","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Don't Know (vol.)","Don't Know (vol.)","Very Favorable","Not Asked","Don't Know (vol.)","Don't Know (vol.)","Don't Know (vol.)","Agree Somewhat","Not Asked","Disapprove Somewhat","0.0","1.00000000000000000","Refused (vol.)","Not Asked","Trust","Somewhat Favorable","Somewhat Favorable","3.00000000000000000","Not asked / no landline phone","Yes","50.00000000000000000","We can buy food and clothes, but do not have money to buy long-term items, like a TV or a refrigerator","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Aktive","Vocational (vocational school, lyceum etc.)",0.970148724173583,"30-39","Right direction","Not Registered To Vote","Somewhat Worse"
24,"CAB OTS W1","Kazakhstan","June",19,2017,"Rural",1,"Female",9,"First Visit",1225,1237,11,3,"Daily","Daily","Female",54,14,"Not Asked","Orthodox","Never","Not Asked","Not Asked","Working part-time","Commercial services","50,001 - 60,000 Tenge","Not Applicable / No Relatives Abroad / No Remittances from Abroad (vol.)","Russian","Yes","Yes","Yes","Yes","No","Yes","24.00000000000000000","Russian",4,"They did not interfere at all","The respondent understood all of the questions","The respondent was comfortable (at ease) with the entire questionnaire","No","Not subject to back check",2017-06-01,"Somewhat high","Not Asked","Don't Know (vol.)","Yes","Yes","Yes","Russian (Kaz)","Northern","Our country's national television stations","Terrorism","Trust","Don't Know (vol.)","Don't Know (vol.)","45-54","At least once a day","At least once a day","At least once a day","At least once a day","Never","Odnoklassniki","Become Worse","Become Better","Not asked","Agree somewhat","Agree somewhat","No","Not asked","Somewhat Favorable","Somewhat Favorable","Very Favorable","Somewhat Favorable","Not Asked","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Not Asked","Somewhat Favorable","Somewhat Favorable","Somewhat Favorable","Don't Know (vol.)","Not Asked","Disapprove Somewhat","1.00000000000000000","2.00000000000000000","Refused (vol.)","Mobile for most calls","Trust","Somewhat Favorable","Don't Know (vol.)","2.00000000000000000","Have landline telephone but refused number","Yes","Don't Know (vol.)","We can buy food, but buying clothes causes financial difficulties","A citizen of [Kazakhstan/ Kyrgyzstan/ Tajikistan/ Uzbekistan]","Christian","Aktive","Complete higher education",0.878764015906838,"50-59","Right direction","Otan Party","Much Worse"
