"ThreatHi","SamPt","NetComp","Gender","Educ","OwnPC","UseNet","nextyear_M","Statements1","OpinionPak","OpinionRussia","CanBuy_M","Region_M","TodayEcSit_M","GeoCode","AgeGroup2","TrustGov_M","totwt"
"1","1","1","Female",12,"No","No","3","3","2","3","4","Northern","2","Rural","3","Trust",0.693441186435793
"0","2","1","Female",11,"No","No","2","2","3","4","2","Northern","2","Rural","5","Trust",0.871299224359785
"1","2","1","Female",11,"Yes","No","2","4","1","4","3","Northern","4","Rural","4","Trust",0.878764015906838
"1","2","1","Male",11,"Yes","No","1","3","2","3","2","Northern","3","Rural","2","Trust",0.970148724173583
"1","2","3","Female",12,"Yes","Yes","1","3","2","4","3","Northern","2","Rural","1","Trust",0.664712041295186
"0","2","1","Male",11,"Yes","No","2","3","2","3","3","Northern","3","Rural","1","Trust",0.963951678947457
"0","3","5","Female",15,"Yes","Yes","2","3","3","4","4","Northern","4","Rural","1","Distrust",0.664712041295186
"1","3","4","Female",10,"Yes","Yes","2","3","3","3","3","Northern","4","Rural","4","Trust",0.878764015906838
"1","3","5","Male",12,"Yes","Yes","1","3","3","4","3","Northern","2","Rural","2","Distrust",0.970148724173583
"1","3","5","Female",14,"Yes","Yes","3","3","3","4","2","Northern","1","Rural","4","Trust",0.878764015906838
"0","3","5","Female",14,"Yes","Yes","2","3","1","4","4","Northern","3","Rural","2","Trust",0.668985337013447
"0","4","5","Female",12,"Yes","Yes","2","4",NA,"4","4","Northern","3","Rural","3","Trust",0.693441186435793
"0","4","1","Female",11,"No","No","3","1",NA,"4","3","Northern","4","Rural","5","Trust",0.871299224359785
"1","4","1","Female",12,"No","Yes","3","4","3","3","3","Northern","4","Rural","1","Distrust",0.664712041295186
"0","6","5","Male",11,"Yes","Yes","2","3","2","3","3","Western","3","Rural","3","Trust",0.978174240874255
"1","6","1","Male",11,"No","Yes","3","2",NA,"3","3","Western","4","Rural","1","Trust",0.93764865588078
"1","7","5","Female",14,"Yes","Yes","3","4","2","4","4","Western","5","Rural","1","Trust",0.646574268897739
"1","8","5","Male",13,"Yes","Yes","2","1",NA,"3","6","Western","3","Rural","1","Trust",0.93764865588078
"1","8","1","Female",11,"No","No","3","4",NA,"3","2","Western","3","Rural","3","Trust",0.674519491582665
"1","8","1","Male",13,"No","No","1","4","3","2","1","Western","2","Rural","4","Trust",1.23959225523573
"0","12","1","Female",11,"No","No","3","4",NA,"3","3","Southern","4","Rural","5","Trust",1.04385084712022
"1","13","1","Female",17,"Yes","No","1","4",NA,"3","4","Southern","3","Rural","4","Trust",1.05279396191031
"0","14","5","Male",12,"Yes","Yes","2","3",NA,"4","4","Southern","3","Rural","2","Trust",1.16227644791638
"1","14","4","Female",13,"Yes","Yes","3","3",NA,"4","4","Southern","4","Rural","1","Trust",0.796351251094965
"1","15","5","Female",15,"Yes","Yes","3","4","2","3","3","Southern","2","Rural","3","Trust",0.830769900456323
"0","15","5","Female",11,"Yes","Yes","1","1","3","4","3","Southern","2","Rural","3","Trust",0.830769900456323
"0","16","1","Female",16,"Yes","Yes","2","3","2","4","2","Southern","4","Rural","3","Trust",0.830769900456323
"0","16","1","Female",9,"No","Yes","2","2","2","4","3","Southern","3","Rural","1","Trust",0.796351251094965
"0","16","4","Male",15,"Yes","Yes",NA,"3","3","3","3","Southern","3","Rural","1","Trust",1.15485214323657
"0","17","1","Female",15,"No","Yes","3","2","2","4","2","Southern","3","Rural","1","Trust",0.796351251094965
"0","18","1","Male",12,"No","Yes","2","3",NA,"4","2","Southern","2","Rural","2","Trust",1.16227644791638
"0","18","4","Female",13,"Yes","Yes","2","3","3","4","2","Southern","2","Rural","4","Trust",1.05279396191031
"0","19","5","Male",13,"Yes","Yes","3","4","2","4","3","Southern","2","Rural","5","Trust",1.51377094762966
"0","19","5","Female",16,"Yes","Yes","3","4","2","3","5","Southern","2","Rural","2","Trust",0.80147082796453
"0","30",NA,"Female",12,"No","No","2","1","1","4","1","Southern","5","Rural","4","Trust",1.05279396191031
"0","30","1","Female",15,"Yes","No","3","3","3","4","3","Southern","3","Rural","5","Trust",1.04385084712022
"0","30","1","Female",11,"No","No","2","3","2","3","3","Southern","4","Rural","1","Trust",0.796351251094965
"0","30","1","Male",11,"No","Yes","2","3","2","4","2","Southern","4","Rural","3","Trust",1.20476535794882
"0","30","1","Female",11,"No","Yes","3","4","1","3","4","Southern","3","Rural","1","Trust",0.796351251094965
"0","30","1","Female",13,"No","Yes","2","2","3","3","3","Southern","4","Rural","1","Trust",0.796351251094965
"1","31","4","Male",11,"Yes","Yes","3","4","1","4","4","Southern","3","Rural","1","Trust",1.15485214323657
"0","32","5","Male",11,"Yes","Yes","3","3",NA,"4","4","Southern","4","Rural","2","Trust",1.16227644791638
"0","34","4","Male",15,"Yes","Yes","2","1","3","3","3","Southern","3","Rural","1","Trust",1.15485214323657
"0","34","4","Male",10,"Yes","Yes","3","2","3","4","3","Southern","3","Rural","2","Trust",1.16227644791638
"0","34","4","Male",15,"Yes","Yes","3","2","3","3","3","Southern","5","Rural","2","Trust",1.16227644791638
"0","34","5","Male",10,"Yes","Yes","3","1","3","4","3","Southern","3","Rural","2","Trust",1.16227644791638
"0","34","4","Male",10,"Yes","Yes","3","1","3","4","2","Southern","4","Rural","2","Trust",1.16227644791638
"0","35","1","Female",11,"No","Yes","2","4",NA,"4","2","Central","3","Rural","1","Trust",0.344834159714438
"0","35","5","Female",15,"Yes","Yes","1","1","1","4","2","Central","1","Rural","4","Trust",0.455878383701419
"0","35","5","Male",15,"No","Yes","2","3","1","3",NA,"Central","2","Rural","3","Trust",0.521684682845816
"0","35","1","Female",13,"No","Yes","2",NA,NA,"4","1","Central","2","Rural","4","Trust",0.455878383701419
"1","35","1","Male",11,"No","No","1","4","1","4","1","Central","2","Rural","4","Trust",0.66110542018854
NA,"36","1","Female",11,"No","No","2","2",NA,"3","2","Central","2","Rural","5","Trust",0.452005857012184
"0","36","1","Female",10,"No","No","3","4",NA,"4","4","Central","5","Rural","5","Trust",0.452005857012184
"0","36","5","Female",16,"Yes","Yes","3",NA,NA,"3","3","Central","3","Rural","1","Trust",0.344834159714438
