"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ThreatHi","factor",1421,0.0526666666666667,3,NA,NA,842,"0",NA,0.482872524874445,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SamPt","factor",1500,0,168,NA,NA,9,"1",NA,0.994008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NetComp","factor",1480,0.0133333333333333,6,NA,NA,695,"1",NA,0.665813550036523,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gender","factor",1500,0,3,NA,NA,907,"Female",NA,0.478089777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Educ","numeric",1500,0,26,12.934,13,13,NA,2.95648516592889,NA,5,49,44,2.88288998767754,22.8140162278257,25.8665305676592,102.41648103707,NA,NA
"OwnPC","factor",1496,0.00266666666666667,3,NA,NA,824,"Yes",NA,0.494838285338443,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UseNet","factor",1476,0.016,3,NA,NA,1077,"Yes",NA,0.39449897547756,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nextyear_M","factor",1423,0.0513333333333333,4,NA,NA,886,"3",NA,0.51275279281397,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Statements1","factor",1407,0.062,5,NA,NA,542,"3",NA,0.699566438292849,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OpinionPak","factor",1090,0.273333333333333,5,NA,NA,472,"2",NA,0.67012372695901,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OpinionRussia","factor",1460,0.0266666666666667,5,NA,NA,759,"4",NA,0.546828673297054,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CanBuy_M","factor",1461,0.026,7,NA,NA,573,"3",NA,0.742755868881121,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Region_M","factor",1500,0,8,NA,NA,504,"Southern",NA,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TodayEcSit_M","factor",1472,0.0186666666666667,6,NA,NA,469,"3",NA,0.745700540524575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GeoCode","factor",1500,0,3,NA,NA,779,"Urban",NA,0.499252444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AgeGroup2","factor",1500,0,6,NA,NA,428,"1",NA,0.781927111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TrustGov_M","factor",1452,0.032,3,NA,NA,1300,"Trust",NA,0.187449248305747,NA,NA,NA,NA,NA,NA,NA,NA,NA
"totwt","numeric",1500,0,118,1,0.963951678947457,0.963951678947457,NA,0.321242467259457,NA,0.344834159714438,2.4633171982197,2.11848303850526,0.844198480769741,6.68064266139487,1.42450601422945,5.64021884620008,NA,NA
